img_id,img_name,question,answer
78,xmlab110/source.jpg,Does the picture contain heart?,Yes
79,xmlab110/source.jpg,What diseases are included in the picture?,Lung Cancer
80,xmlab110/source.jpg,Is the lung healthy?,No
81,xmlab110/source.jpg,Where is/are the abnormality located?,"Left Lung, Lower Right"
82,xmlab110/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Lung
83,xmlab111/source.jpg,What modality is used to take this image?,CT
84,xmlab111/source.jpg,Which part of the body does this image belong to?,Chest
85,xmlab111/source.jpg,What is the main organ in the image?,"Lung, Liver"
86,xmlab111/source.jpg,What is the largest organ in the picture?,Liver
87,xmlab111/source.jpg,Does the picture contain liver?,Yes
88,xmlab111/source.jpg,Does the picture contain lung?,Yes
89,xmlab111/source.jpg,Does the picture contain heart?,No
90,xmlab111/source.jpg,Is the lung healthy?,Yes
91,xmlab111/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Liver
92,xmlab113/source.jpg,What modality is used to take this image?,CT
93,xmlab113/source.jpg,Which part of the body does this image belong to?,Chest
94,xmlab113/source.jpg,What is the main organ in the image?,Lung
95,xmlab113/source.jpg,What is the largest organ in the picture?,Lung
96,xmlab113/source.jpg,Does the picture contain liver?,No
97,xmlab113/source.jpg,Does the picture contain lung?,Yes
98,xmlab113/source.jpg,What diseases are included in the picture?,Lung Cancer
99,xmlab113/source.jpg,Does the lung look normal?,No
100,xmlab113/source.jpg,Where is/are the abnormality located?,"Right Lung, Lower Left"
101,xmlab113/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Lung
102,xmlab114/source.jpg,What modality is used to take this image?,CT
103,xmlab114/source.jpg,Which part of the body does this image belong to?,Chest
104,xmlab114/source.jpg,What is the main organ in the image?,"Lung, Heart"
105,xmlab114/source.jpg,What is the largest organ in the picture?,Lung
106,xmlab114/source.jpg,Does the picture contain liver?,No
107,xmlab114/source.jpg,Does the picture contain lung?,Yes
108,xmlab114/source.jpg,Does the picture contain heart?,Yes
109,xmlab114/source.jpg,What diseases are included in the picture?,None
110,xmlab114/source.jpg,Is the lung healthy?,Yes
111,xmlab114/source.jpg,"Which is bigger in this image,lung or heart?",Lung
112,xmlab115/source.jpg,What modality is used to take this image?,CT
113,xmlab115/source.jpg,Which part of the body does this image belong to?,Chest
114,xmlab115/source.jpg,What is the main organ in the image?,Lung
115,xmlab115/source.jpg,What is the largest organ in the picture?,Lung
116,xmlab115/source.jpg,Does the picture contain liver?,No
117,xmlab115/source.jpg,Does the picture contain lung?,Yes
118,xmlab115/source.jpg,What diseases are included in the picture?,Lung Cancer
119,xmlab115/source.jpg,Is the lung healthy?,No
120,xmlab115/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
121,xmlab115/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Lung
122,xmlab116/source.jpg,What modality is used to take this image?,CT
123,xmlab116/source.jpg,Which part of the body does this image belong to?,Chest
124,xmlab116/source.jpg,What is the main organ in the image?,"Lung, Heart"
125,xmlab116/source.jpg,What is the largest organ in the picture?,Lung
126,xmlab116/source.jpg,Does the picture contain liver?,No
127,xmlab116/source.jpg,Does the picture contain lung?,Yes
128,xmlab116/source.jpg,Does the picture contain heart?,Yes
129,xmlab116/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Lung
130,xmlab117/source.jpg,What modality is used to take this image?,CT
131,xmlab117/source.jpg,Which part of the body does this image belong to?,Chest
132,xmlab117/source.jpg,What is the main organ in the image?,"Liver, Heart, Spleen, Lung"
133,xmlab117/source.jpg,What is the largest organ in the picture?,Heart
134,xmlab117/source.jpg,Does the picture contain liver?,Yes
135,xmlab117/source.jpg,Does the picture contain lung?,Yes
136,xmlab117/source.jpg,Does the picture contain heart?,Yes
137,xmlab117/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Heart
138,xmlab118/source.jpg,What modality is used to take this image?,CT
139,xmlab118/source.jpg,Which part of the body does this image belong to?,Chest
140,xmlab118/source.jpg,What is the main organ in the image?,Spinal Cord
141,xmlab118/source.jpg,Does the picture contain liver?,No
142,xmlab118/source.jpg,Does the picture contain lung?,No
143,xmlab118/source.jpg,Does the picture contain heart?,No
144,xmlab12/source.jpg,What modality is used to take this image?,MRI
145,xmlab12/source.jpg,Which part of the body does this image belong to?,Abdomen
146,xmlab12/source.jpg,What is the mr weighting in this image?,T2
147,xmlab12/source.jpg,Does the picture contain liver?,No
148,xmlab12/source.jpg,Does the picture contain kidney?,No
149,xmlab12/source.jpg,Does the picture contain spleen?,No
150,xmlab12/source.jpg,Where is the liver?,Not seen
151,xmlab120/source.jpg,What modality is used to take this image?,X-Ray
152,xmlab120/source.jpg,Which part of the body does this image belong to?,Chest
153,xmlab120/source.jpg,Are there abnormalities in this image?,Yes
154,xmlab120/source.jpg,What is the largest organ in the picture?,Lung
155,xmlab120/source.jpg,What diseases are included in the picture?,Effusion
156,xmlab120/source.jpg,Where is/are the abnormality located?,"Right Lung, Lower Left"
157,xmlab120/source.jpg,Is the lung healthy?,No
158,xmlab122/source.jpg,What modality is used to take this image?,X-Ray
159,xmlab122/source.jpg,Which part of the body does this image belong to?,Chest
160,xmlab122/source.jpg,Are there abnormalities in this image?,Yes
161,xmlab122/source.jpg,What is the largest organ in the picture?,Lung
162,xmlab122/source.jpg,What diseases are included in the picture?,Noudle
163,xmlab122/source.jpg,Where is/are the abnormality located?,"Left Lung, Upper Right"
164,xmlab122/source.jpg,Is the lung healthy?,No
165,xmlab123/source.jpg,What modality is used to take this image?,X-Ray
166,xmlab123/source.jpg,Which part of the body does this image belong to?,Chest
167,xmlab123/source.jpg,Are there abnormalities in this image?,Yes
168,xmlab123/source.jpg,What is the largest organ in the picture?,Lung
169,xmlab123/source.jpg,What diseases are included in the picture?,"Cardiomegaly, Pneumothorax"
170,xmlab123/source.jpg,Where is/are the abnormality located?,"Center, Left Lung"
171,xmlab123/source.jpg,Is the lung healthy?,No
172,xmlab123/source.jpg,"Which organ is abnormal, heart or lung?",Both
173,xmlab125/source.jpg,What modality is used to take this image?,X-Ray
174,xmlab125/source.jpg,Which part of the body does this image belong to?,Chest
175,xmlab125/source.jpg,Does this image look abnormal?,Yes
176,xmlab125/source.jpg,What is the largest organ in the picture?,Lung
177,xmlab125/source.jpg,What diseases are included in the picture?,Nodule
178,xmlab125/source.jpg,Where is/are the abnormality located?,"Left Lung, Lower Right"
179,xmlab125/source.jpg,Is the lung healthy?,No
180,xmlab126/source.jpg,What modality is used to take this image?,X-Ray
181,xmlab126/source.jpg,Which part of the body does this image belong to?,Chest
182,xmlab126/source.jpg,What is the largest organ in the picture?,Lung
183,xmlab126/source.jpg,What diseases are included in the picture?,Atelectasis
184,xmlab126/source.jpg,Where is/are the abnormality located?,"Right Lung, Left"
185,xmlab126/source.jpg,Are there abnormalities in this image?,Yes
186,xmlab126/source.jpg,Does the lung look healthy?,No
187,xmlab131/source.jpg,What modality is used to take this image?,X-Ray
188,xmlab131/source.jpg,Which part of the body does this image belong to?,Chest
189,xmlab131/source.jpg,Are there abnormalities in this image?,Yes
190,xmlab131/source.jpg,What is the largest organ in the picture?,Lung
191,xmlab131/source.jpg,What diseases are included in the picture?,Atelectasis
192,xmlab131/source.jpg,Where is/are the abnormality located?,"Right Lung, Lower Left"
193,xmlab131/source.jpg,Is the lung healthy?,No
194,xmlab132/source.jpg,What modality is used to take this image?,X-Ray
195,xmlab132/source.jpg,Which part of the body does this image belong to?,Chest
196,xmlab132/source.jpg,Are there abnormalities in this image?,Yes
197,xmlab132/source.jpg,What is the largest organ in the picture?,Lung
198,xmlab132/source.jpg,What diseases are included in the picture?,Cardiomegal
199,xmlab132/source.jpg,Where is/are the abnormality located?,Center
200,xmlab132/source.jpg,"Which organ is abnormal, heart or lung?",Heart
201,xmlab133/source.jpg,What modality is used to take this image?,X-Ray
202,xmlab133/source.jpg,Which part of the body does this image belong to?,Chest
203,xmlab133/source.jpg,Are there abnormalities in this image?,Yes
204,xmlab133/source.jpg,What is the largest organ in the picture?,Lung
205,xmlab133/source.jpg,What diseases are included in the picture?,Pneumonia
206,xmlab133/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
207,xmlab133/source.jpg,Is the lung healthy?,No
208,xmlab133/source.jpg,"Which organ is abnormal, heart or lung?",Lung
209,xmlab134/source.jpg,What modality is used to take this image?,X-Ray
210,xmlab134/source.jpg,Which part of the body does this image belong to?,Chest
211,xmlab134/source.jpg,Are there abnormalities in this image?,Yes
212,xmlab134/source.jpg,What is the largest organ in the picture?,Lung
213,xmlab134/source.jpg,What diseases are included in the picture?,Cardiomega
214,xmlab134/source.jpg,Where is/are the abnormality located?,Center
215,xmlab134/source.jpg,"Which organ is abnormal, heart or lung?",Heart
216,xmlab136/source.jpg,What modality is used to take this image?,X-Ray
217,xmlab136/source.jpg,Which part of the body does this image belong to?,Chest
218,xmlab136/source.jpg,What is the largest organ in the picture?,Lung
219,xmlab136/source.jpg,What diseases are included in the picture?,Atelectasis
220,xmlab136/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
221,xmlab136/source.jpg,Are there abnormalities in this image?,Yes
222,xmlab136/source.jpg,Does the lung look abnormal?,Yes
223,xmlab136/source.jpg,"Which organ is abnormal, heart or lung?",Lung
224,xmlab137/source.jpg,What modality is used to take this image?,X-Ray
225,xmlab137/source.jpg,Which part of the body does this image belong to?,Chest
226,xmlab137/source.jpg,Are there abnormalities in this image?,Yes
227,xmlab137/source.jpg,What is the largest organ in the picture?,Lung
228,xmlab137/source.jpg,What diseases are included in the picture?,"Mass, Atelectasis"
229,xmlab137/source.jpg,Where is/are the abnormality located?,Both Lung
230,xmlab137/source.jpg,Is the lung healthy?,No
231,xmlab137/source.jpg,"Which organ is abnormal, heart or lung?",Lung
232,xmlab138/source.jpg,What modality is used to take this image?,X-Ray
233,xmlab138/source.jpg,Which part of the body does this image belong to?,Chest
234,xmlab138/source.jpg,What is the largest organ in the picture?,Lung
235,xmlab138/source.jpg,What diseases are included in the picture?,Cardiomegaly
236,xmlab138/source.jpg,Where is/are the abnormality located?,Center
237,xmlab138/source.jpg,Are there abnormalities in this image?,Yes
238,xmlab138/source.jpg,"Which organ is abnormal, heart or lung?",Heart
239,xmlab14/source.jpg,What modality is used to take this image?,MRI
240,xmlab14/source.jpg,Which part of the body does this image belong to?,Abdomen
241,xmlab14/source.jpg,What is the mr weighting in this image?,T2
242,xmlab14/source.jpg,How many kidneys are there in this image?,2
243,xmlab14/source.jpg,What is the largest organ in the picture?,Liver
244,xmlab14/source.jpg,Does the picture contain liver?,Yes
245,xmlab14/source.jpg,Does the picture contain kidney?,Yes
246,xmlab14/source.jpg,Does the picture contain spleen?,No
247,xmlab140/source.jpg,What modality is used to take this image?,X-Ray
248,xmlab140/source.jpg,Which part of the body does this image belong to?,Chest
249,xmlab140/source.jpg,What is the largest organ in the picture?,Lung
250,xmlab140/source.jpg,What diseases are included in the picture?,Infiltration
251,xmlab140/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
252,xmlab140/source.jpg,Are there abnormalities in this image?,Yes
253,xmlab140/source.jpg,Is the lung healthy?,No
254,xmlab140/source.jpg,"Which organ is abnormal, heart or lung?",Lung
255,xmlab141/source.jpg,What modality is used to take this image?,X-Ray
256,xmlab141/source.jpg,Which part of the body does this image belong to?,Chest
257,xmlab141/source.jpg,What is the largest organ in the picture?,Lung
258,xmlab141/source.jpg,What diseases are included in the picture?,Mass
259,xmlab141/source.jpg,Where is/are the abnormality located?,"Right Lung, Left"
260,xmlab141/source.jpg,Are there abnormalities in this image?,Yes
261,xmlab141/source.jpg,Is the lung healthy?,No
262,xmlab141/source.jpg,"Which organ is abnormal, heart or lung?",Lung
263,xmlab143/source.jpg,What modality is used to take this image?,X-Ray
264,xmlab143/source.jpg,Which part of the body does this image belong to?,Chest
265,xmlab143/source.jpg,What is the largest organ in the picture?,Lung
266,xmlab143/source.jpg,What diseases are included in the picture?,Effusion
267,xmlab143/source.jpg,Where is/are the abnormality located?,"Right Lung, Left"
268,xmlab143/source.jpg,Are there abnormalities in this image?,Yes
269,xmlab143/source.jpg,Is the lung healthy?,No
270,xmlab143/source.jpg,"Which organ is abnormal, heart or lung?",Lung
271,xmlab144/source.jpg,What modality is used to take this image?,X-Ray
272,xmlab144/source.jpg,Which part of the body does this image belong to?,Chest
273,xmlab144/source.jpg,Are there abnormalities in this image?,Yes
274,xmlab144/source.jpg,What is the largest organ in the picture?,Lung
275,xmlab144/source.jpg,What diseases are included in the picture?,Nodule
276,xmlab144/source.jpg,Where is/are the abnormality located?,"Left Lung, Lower Right"
277,xmlab144/source.jpg,Is the lung healthy?,No
278,xmlab144/source.jpg,"Which organ is abnormal, heart or lung?",Lung
279,xmlab145/source.jpg,What modality is used to take this image?,X-Ray
280,xmlab145/source.jpg,Which part of the body does this image belong to?,Chest
281,xmlab145/source.jpg,What is the largest organ in the picture?,Lung
282,xmlab145/source.jpg,What diseases are included in the picture?,Nodule
283,xmlab145/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
284,xmlab145/source.jpg,Is the lung healthy?,No
285,xmlab145/source.jpg,Are there abnormalities in this image?,Yes
286,xmlab145/source.jpg,"Which organ is abnormal, heart or lung?",Lung
287,xmlab146/source.jpg,What modality is used to take this image?,X-Ray
288,xmlab146/source.jpg,Which part of the body does this image belong to?,Chest
289,xmlab146/source.jpg,Does this image look abnormal?,Yes
290,xmlab146/source.jpg,What is the largest organ in the picture?,Lung
291,xmlab146/source.jpg,What diseases are included in the picture?,Pneumonia
292,xmlab146/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
293,xmlab146/source.jpg,Is the lung healthy?,No
294,xmlab146/source.jpg,Are there abnormalities in this image?,Yes
295,xmlab146/source.jpg,"Which organ is abnormal, heart or lung?",Lung
296,xmlab149/source.jpg,What modality is used to take this image?,X-Ray
297,xmlab149/source.jpg,Which part of the body does this image belong to?,Chest
298,xmlab149/source.jpg,Are there abnormalities in this image?,Yes
299,xmlab149/source.jpg,What is the largest organ in the picture?,Lung
300,xmlab149/source.jpg,What diseases are included in the picture?,Pneumonia
301,xmlab149/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
302,xmlab149/source.jpg,Is the lung healthy?,No
303,xmlab149/source.jpg,"Which organ is abnormal, heart or lung?",Lung
304,xmlab15/source.jpg,What modality is used to take this image?,MRI
305,xmlab15/source.jpg,Which part of the body does this image belong to?,Abdomen
306,xmlab15/source.jpg,What is the mr weighting in this image?,T2
307,xmlab15/source.jpg,Does the picture contain liver?,Yes
308,xmlab15/source.jpg,Does the picture contain kidney?,No
309,xmlab15/source.jpg,Does the picture contain spleen?,Yes
310,xmlab15/source.jpg,Is the spleen healthy?,Yes
311,xmlab150/source.jpg,What modality is used to take this image?,X-Ray
312,xmlab150/source.jpg,Which part of the body does this image belong to?,Chest
313,xmlab150/source.jpg,Are there abnormalities in this image?,Yes
314,xmlab150/source.jpg,What is the largest organ in the picture?,Lung
315,xmlab150/source.jpg,What diseases are included in the picture?,Cardiomegaly
316,xmlab150/source.jpg,Where is/are the abnormality located?,Center
317,xmlab150/source.jpg,"Which organ is abnormal, heart or lung?",Heart
318,xmlab151/source.jpg,What modality is used to take this image?,X-Ray
319,xmlab151/source.jpg,Which part of the body does this image belong to?,Chest
320,xmlab151/source.jpg,What is the largest organ in the picture?,Lung
321,xmlab151/source.jpg,What diseases are included in the picture?,Cardiomegaly
322,xmlab151/source.jpg,Where is/are the abnormality located?,Center
323,xmlab151/source.jpg,Are there abnormalities in this image?,Yes
324,xmlab151/source.jpg,"Which organ is abnormal, heart or lung?",Heart
325,xmlab153/source.jpg,What modality is used to take this image?,X-Ray
326,xmlab153/source.jpg,Which part of the body does this image belong to?,Chest
327,xmlab153/source.jpg,What is the largest organ in the picture?,Lung
328,xmlab153/source.jpg,What diseases are included in the picture?,Cardiomegaly
329,xmlab153/source.jpg,Where is/are the abnormality located?,Center
330,xmlab153/source.jpg,Are there abnormalities in this image?,Yes
331,xmlab153/source.jpg,"Which organ is abnormal, heart or lung?",Heart
332,xmlab154/source.jpg,What modality is used to take this image?,X-Ray
333,xmlab154/source.jpg,Which part of the body does this image belong to?,Chest
334,xmlab154/source.jpg,What is the largest organ in the picture?,Lung
335,xmlab154/source.jpg,What diseases are included in the picture?,Atelectasis
336,xmlab154/source.jpg,Where is/are the abnormality located?,"Left Lung, Lower Right"
337,xmlab154/source.jpg,Is the lung unhealthy?,No
338,xmlab154/source.jpg,Are there abnormalities in this image?,Yes
339,xmlab154/source.jpg,"Which organ is abnormal, heart or lung?",Lung
340,xmlab155/source.jpg,What modality is used to take this image?,X-Ray
341,xmlab155/source.jpg,Which part of the body does this image belong to?,Chest
342,xmlab155/source.jpg,Does this image look abnormal?,Yes
343,xmlab155/source.jpg,What is the largest organ in the picture?,Lung
344,xmlab155/source.jpg,What diseases are included in the picture?,"Cardiomegaly, Infiltration, Effusion"
345,xmlab155/source.jpg,Is the lung healthy?,No
346,xmlab155/source.jpg,Are there abnormalities in this image?,Yes
347,xmlab155/source.jpg,"Which organ is abnormal, heart or lung?",Both
348,xmlab156/source.jpg,What modality is used to take this image?,X-Ray
349,xmlab156/source.jpg,Which part of the body does this image belong to?,Chest
350,xmlab156/source.jpg,Does this image look abnormal?,Yes
351,xmlab156/source.jpg,What is the largest organ in the picture?,Lung
352,xmlab156/source.jpg,What diseases are included in the picture?,"Atelectasis, Effusion"
353,xmlab156/source.jpg,Where is/are the abnormality located?,Both Lungs
354,xmlab156/source.jpg,Does the lung look healthy?,No
355,xmlab156/source.jpg,Are there abnormalities in this image?,Yes
356,xmlab156/source.jpg,"Which organ is abnormal, heart or lung?",Lung
357,xmlab157/source.jpg,What modality is used to take this image?,X-Ray
358,xmlab157/source.jpg,Which part of the body does this image belong to?,Chest
359,xmlab157/source.jpg,Does this image look abnormal?,Yes
360,xmlab157/source.jpg,What is the largest organ in the picture?,Lung
361,xmlab157/source.jpg,What diseases are included in the picture?,Pneumonia
362,xmlab157/source.jpg,Where is/are the abnormality located?,"Right Lung, Left"
363,xmlab157/source.jpg,Is the lung healthy?,No
364,xmlab157/source.jpg,Are there abnormalities in this image?,Yes
365,xmlab157/source.jpg,"Which organ is abnormal, heart or lung?",Lung
366,xmlab158/source.jpg,What modality is used to take this image?,X-Ray
367,xmlab158/source.jpg,Which part of the body does this image belong to?,Chest
368,xmlab158/source.jpg,What is the largest organ in the picture?,Lung
369,xmlab158/source.jpg,What diseases are included in the picture?,Cardiomegaly
370,xmlab158/source.jpg,Where is/are the abnormality located?,Center
371,xmlab158/source.jpg,Are there abnormalities in this image?,Yes
372,xmlab158/source.jpg,"Which organ is abnormal, heart or lung?",Heart
373,xmlab16/source.jpg,What modality is used to take this image?,MRI
374,xmlab16/source.jpg,Which part of the body does this image belong to?,Abdomen
375,xmlab16/source.jpg,What is the mr weighting in this image?,T2
376,xmlab16/source.jpg,Does the picture contain liver?,Yes
377,xmlab16/source.jpg,Does the picture contain kidney?,Yes
378,xmlab16/source.jpg,Does the picture contain spleen?,Yes
379,xmlab16/source.jpg,Are the kidneys healthy?,Yes
380,xmlab161/source.jpg,What modality is used to take this image?,X-Ray
381,xmlab161/source.jpg,Which part of the body does this image belong to?,Chest
382,xmlab161/source.jpg,Does this image look abnormal?,Yes
383,xmlab161/source.jpg,What is the largest organ in the picture?,Lung
384,xmlab161/source.jpg,What diseases are included in the picture?,Cardiomegaly
385,xmlab161/source.jpg,Where is/are the abnormality located?,Center
386,xmlab161/source.jpg,"Which organ is abnormal, heart or lung?",Heart
387,xmlab162/source.jpg,What modality is used to take this image?,X-Ray
388,xmlab162/source.jpg,Which part of the body does this image belong to?,Chest
389,xmlab162/source.jpg,What is the largest organ in the picture?,Lung
390,xmlab162/source.jpg,What diseases are included in the picture?,Cardiomegaly
391,xmlab162/source.jpg,Where is/are the abnormality located?,Center
392,xmlab162/source.jpg,Are there abnormalities in this image?,Yes
393,xmlab162/source.jpg,"Which organ is abnormal, heart or lung?",Heart
394,xmlab163/source.jpg,What modality is used to take this image?,X-Ray
395,xmlab163/source.jpg,Which part of the body does this image belong to?,Chest
396,xmlab163/source.jpg,Does this image look abnormal?,Yes
397,xmlab163/source.jpg,What is the largest organ in the picture?,Lung
398,xmlab163/source.jpg,What diseases are included in the picture?,Pneumothorax
399,xmlab163/source.jpg,Where is/are the abnormality located?,"Left Lung, Upper Right"
400,xmlab163/source.jpg,Is the lung healthy?,No
401,xmlab163/source.jpg,Are there abnormalities in this image?,Yes
402,xmlab163/source.jpg,"Which organ is abnormal, heart or lung?",Heart
403,xmlab165/source.jpg,What modality is used to take this image?,X-Ray
404,xmlab165/source.jpg,Which part of the body does this image belong to?,Chest
405,xmlab165/source.jpg,Does this image look abnormal?,Yes
406,xmlab165/source.jpg,What is the largest organ in the picture?,Lung
407,xmlab165/source.jpg,What diseases are included in the picture?,Mass
408,xmlab165/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
409,xmlab165/source.jpg,Is the lung healthy?,No
410,xmlab165/source.jpg,"Which organ is abnormal, heart or lung?",Lung
411,xmlab166/source.jpg,What modality is used to take this image?,X-Ray
412,xmlab166/source.jpg,Which part of the body does this image belong to?,Chest
413,xmlab166/source.jpg,What is the largest organ in the picture?,Lung
414,xmlab166/source.jpg,What diseases are included in the picture?,Nodule
415,xmlab166/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
416,xmlab166/source.jpg,Is the lung healthy?,No
417,xmlab166/source.jpg,Are there abnormalities in this image?,Yes
418,xmlab166/source.jpg,"Which organ is abnormal, heart or lung?",Lung
419,xmlab167/source.jpg,What modality is used to take this image?,X-Ray
420,xmlab167/source.jpg,Which part of the body does this image belong to?,Chest
421,xmlab167/source.jpg,Does this image look abnormal?,Yes
422,xmlab167/source.jpg,What is the largest organ in the picture?,Lung
423,xmlab167/source.jpg,What diseases are included in the picture?,Atelectasis
424,xmlab167/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
425,xmlab167/source.jpg,Is the lung healthy?,No
426,xmlab167/source.jpg,Are there abnormalities in this image?,Yes
427,xmlab167/source.jpg,"Which organ is abnormal, heart or lung?",Lung
428,xmlab168/source.jpg,What modality is used to take this image?,X-Ray
429,xmlab168/source.jpg,Which part of the body does this image belong to?,Chest
430,xmlab168/source.jpg,Does this image look abnormal?,Yes
431,xmlab168/source.jpg,What is the largest organ in the picture?,Lung
432,xmlab168/source.jpg,What diseases are included in the picture?,Nodule
433,xmlab168/source.jpg,Where is/are the abnormality located?,"Right Lung, Left"
434,xmlab168/source.jpg,Is the lung healthy?,No
435,xmlab168/source.jpg,"Which organ is abnormal, heart or lung?",Lung
436,xmlab17/source.jpg,What modality is used to take this image?,MRI
437,xmlab17/source.jpg,Which part of the body does this image belong to?,Abdomen
438,xmlab17/source.jpg,What is the mr weighting in this image?,T2
439,xmlab17/source.jpg,Does the picture contain liver?,No
440,xmlab17/source.jpg,Does the picture contain kidney?,No
441,xmlab17/source.jpg,Does the picture contain spleen?,No
